Accuracy,Epoch
0.14399092962412066,10
0.26530612231382167,20
0.5190476189530085,30
0.7027210880839635,40
0.7959183672117809,50
0.8419501132164953,60
0.8641723354387175,70
0.8759637183883563,80
0.8907029474132996,90
0.8981859406105785,100
0.8993197279452196,110
0.9176870748839951,120
0.9131519272484206,130
0.9149659861783052,140
0.920181405679439,150
0.9154195006472183,160
0.9285714285984602,170
0.9249433104413437,180
0.9267573696685757,190
0.9215419493564944,200
0.9281179138592311,210
0.9267573693982598,220
0.9308390022946053,230
0.933333333360365,240
0.9396825397095713,250
0.9274376412367875,260
0.9274376412367875,270
0.936054421282139,280
0.9394557823399567,290
0.9331065759907504,300
0.9369614510038813,310
0.9394557823399567,320
0.9383219954918842,330
0.9378684804823393,340
0.9467120178973053,350
0.9351473923172811,360
0.943537414209102,370
0.941723355765786,380
0.9419501131354006,390
0.9455782310492328,400
0.9414965986664874,410
0.9512471652895955,420
0.9489795915934505,430
0.9433106568394874,440
0.9544217689777988,450
0.9442176871018615,460
0.9480725618446765,470
0.95578231292517,480
0.9444444442011601,490
0.9489795910798503,500
0.9464852597437748,510
0.9412698405129569,520
0.9467120173837051,530
0.9485260770975057,540
0.9480725616013923,550
0.944444443957876,560
0.9478458039614619,570
0.9428571421002585,580
0.949206348963065,590
0.948299318700691,600
0.9444444436875601,610
0.9507936500367664,620
0.9562358269075147,630
0.9478458042317778,640
0.9467120178973053,650
0.9489795910798503,660
0.9467120171133894,670
0.9498866202879925,680
0.9464852600140907,690
0.9510204074063809,700
0.9451247163100037,710
0.95147392214561,720
0.9464852600140907,730
0.9489795908095344,740
0.9482993189710068,750
0.9519274368848389,760
0.9485260763406212,770
0.953741495841755,780
0.9526077089936825,790
0.9551020403027264,800
0.9503401352975374,810
0.9494331055487635,820
0.946712017654021,830
0.9467120173837051,840
0.9507936500367664,850
0.9535147382018248,860
0.9560090702947845,870
0.9503401352975374,880
0.9535147384721405,890
0.9532879811025261,900
0.9551020403027264,910
0.9530612239761959,920
0.9541950108242684,930
0.9546485260770975,940
0.9539682529410537,950
0.9501133779279228,960
0.9487528337102358,970
0.9532879808322102,980
0.9551020403027264,990
0.95578231241157,1000
