Accuracy,Epoch,Loss
0.08412698407292096,10,3.490654468536377
0.15623582758330434,20,3.058199882507324
0.581179138808564,30,1.5504026412963867
0.8158730154675421,40,0.39222604036331177
0.8696145125527501,50,0.36341074109077454
0.87233560074484,60,0.22096551954746246
0.8820861670976323,70,0.25180310010910034
0.9006802724332226,80,0.19409331679344177
0.9102040816867162,90,0.1360066682100296
0.9126984127524759,100,0.11865735054016113
0.9006802721629067,110,0.005096019711345434
0.9165532880359226,120,0.07833929359912872
0.9072562361520434,130,0.000202967319637537
0.9267573691279439,140,0.2923966646194458
0.9258503399198017,150,0.2569212317466736
0.920181405679439,160,0.07807845622301102
0.9133786845910036,170,0.1436450481414795
0.9233560088540421,180,0.17633110284805298
0.920181405679439,190,0.059870388358831406
0.9297052149329326,200,0.00027461149147711694
0.9222222217356537,210,0.23646923899650574
0.9267573696685757,220,0.12256752699613571
0.9281179136159469,230,0.11755076050758362
0.9274376412367875,240,0.11759935319423676
0.9319727888993936,250,0.11766086518764496
0.9317460312594632,260,0.059147242456674576
0.936961450760597,270,0.11871938407421112
0.9312925165202341,280,0.11754101514816284
0.9374149654998261,290,0.09802286326885223
0.937868480239055,300,0.17670820653438568
0.9263038543887149,310,0.11756624281406403
0.9260770972894162,320,0.23521068692207336
0.9403628118454463,330,0.1778244972229004
0.9346938770644518,340,0.11777230352163315
0.9158730156567632,350,0.2350798398256302
0.9365079362916838,360,0.05903824046254158
0.9362811789220693,370,0.05878651514649391
0.9374149657701418,380,1.2647128642129246e-06
0.9371882084005274,390,0.059153106063604355
0.9253968249102569,400,0.1763305962085724
0.9294784578336339,410,0.11753951758146286
0.9244897954317988,420,0.41183745861053467
0.9362811786517534,430,3.4654676710488275e-05
0.9374149654998261,440,0.1791813224554062
0.9353741491732954,450,0.23517253994941711
0.9430838997401888,460,0.12134981155395508
0.9437641718490324,470,0.1175454631447792
0.9317460312594632,480,0.004683051258325577
0.9344671202084375,490,0.05979417636990547
0.9312925165202341,500,0.05877096578478813
